instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,check_out,check in
5194,8/9/2011,3,0,8,7,0,2,1,1,0.72,0.697,0.74,0.1045,30,313,343,313
5195,8/9/2011,3,0,8,8,0,2,1,1,0.74,0.697,0.66,0,40,352,392,352
5196,8/9/2011,3,0,8,9,0,2,1,2,0.78,0.7424,0.62,0.1343,34,141,175,141
5197,8/9/2011,3,0,8,10,0,2,1,2,0.8,0.7727,0.59,0.2239,55,89,144,89
5198,8/9/2011,3,0,8,11,0,2,1,1,0.8,0.7727,0.59,0.2239,61,88,149,88
5199,8/9/2011,3,0,8,12,0,2,1,1,0.82,0.7879,0.56,0.194,60,125,185,125
5200,8/9/2011,3,0,8,13,0,2,1,1,0.84,0.7879,0.49,0.1642,48,127,175,127
5201,8/9/2011,3,0,8,14,0,2,1,1,0.86,0.7879,0.44,0.2836,53,95,148,95
5202,8/9/2011,3,0,8,15,0,2,1,1,0.86,0.7727,0.39,0.2836,58,106,164,106
5203,8/9/2011,3,0,8,16,0,2,1,1,0.86,0.7727,0.39,0.2985,57,228,285,228
5204,8/9/2011,3,0,8,17,0,2,1,1,0.8,0.7576,0.55,0.1642,79,453,532,453
5205,8/9/2011,3,0,8,18,0,2,1,1,0.8,0.7576,0.55,0.194,97,488,585,488
5206,8/9/2011,3,0,8,19,0,2,1,1,0.8,0.7424,0.49,0.1045,69,302,371,302
5207,8/9/2011,3,0,8,20,0,2,1,1,0.8,0.7273,0.43,0.194,34,258,292,258
5208,8/9/2011,3,0,8,21,0,2,1,1,0.78,0.697,0.46,0.2537,46,184,230,184
5209,8/9/2011,3,0,8,22,0,2,1,1,0.78,0.697,0.46,0.2985,28,127,155,127
5210,8/9/2011,3,0,8,23,0,2,1,1,0.76,0.6818,0.48,0.2836,22,53,75,53
5211,8/10/2011,3,0,8,0,0,3,1,1,0.74,0.6667,0.51,0.2239,19,18,37,18
5212,8/10/2011,3,0,8,1,0,3,1,1,0.72,0.6667,0.54,0.194,7,10,17,10
5213,8/10/2011,3,0,8,2,0,3,1,1,0.72,0.6667,0.54,0.1642,1,10,11,10
5214,8/10/2011,3,0,8,3,0,3,1,1,0.7,0.6515,0.58,0.1642,1,3,4,3
5215,8/10/2011,3,0,8,4,0,3,1,1,0.7,0.6515,0.54,0.1343,1,4,5,4
5216,8/10/2011,3,0,8,5,0,3,1,1,0.68,0.6364,0.61,0.0896,2,30,32,30
5217,8/10/2011,3,0,8,6,0,3,1,1,0.68,0.6364,0.61,0,9,110,119,110
5218,8/10/2011,3,0,8,7,0,3,1,1,0.7,0.6515,0.58,0.0896,16,289,305,289
5219,8/10/2011,3,0,8,8,0,3,1,1,0.74,0.6667,0.51,0.194,38,361,399,361
5220,8/10/2011,3,0,8,9,0,3,1,1,0.76,0.6818,0.48,0.2239,32,148,180,148
5221,8/10/2011,3,0,8,10,0,3,1,1,0.8,0.7273,0.43,0.2239,41,72,113,72
5222,8/10/2011,3,0,8,11,0,3,1,1,0.8,0.7121,0.41,0.3881,54,95,149,95
5223,8/10/2011,3,0,8,12,0,3,1,1,0.82,0.7273,0.38,0.2985,74,166,240,166
5224,8/10/2011,3,0,8,13,0,3,1,1,0.82,0.7273,0.38,0.2836,41,150,191,150
5225,8/10/2011,3,0,8,14,0,3,1,1,0.84,0.7273,0.34,0.3284,62,116,178,116
5226,8/10/2011,3,0,8,15,0,3,1,1,0.86,0.7424,0.3,0.3284,53,141,194,141
5227,8/10/2011,3,0,8,16,0,3,1,1,0.86,0.7424,0.26,0.2985,76,206,282,206
5228,8/10/2011,3,0,8,17,0,3,1,1,0.84,0.7121,0.26,0.2985,71,513,584,513
5229,8/10/2011,3,0,8,18,0,3,1,1,0.82,0.7121,0.28,0.2985,70,489,559,489
5230,8/10/2011,3,0,8,19,0,3,1,1,0.8,0.697,0.26,0.2537,79,334,413,334
5231,8/10/2011,3,0,8,20,0,3,1,1,0.76,0.6667,0.31,0.1343,59,253,312,253
5232,8/10/2011,3,0,8,21,0,3,1,1,0.76,0.6667,0.33,0.1045,47,162,209,162
5233,8/10/2011,3,0,8,22,0,3,1,1,0.74,0.6515,0.37,0,17,122,139,122
5234,8/10/2011,3,0,8,23,0,3,1,1,0.74,0.6515,0.37,0.0896,14,94,108,94
5235,8/11/2011,3,0,8,0,0,4,1,1,0.7,0.6364,0.45,0.1045,6,40,46,40
5236,8/11/2011,3,0,8,1,0,4,1,1,0.7,0.6364,0.45,0.1343,9,17,26,17
5237,8/11/2011,3,0,8,2,0,4,1,1,0.66,0.6212,0.54,0.1343,3,8,11,8
5238,8/11/2011,3,0,8,3,0,4,1,1,0.64,0.6212,0.57,0.1343,2,7,9,7
5239,8/11/2011,3,0,8,4,0,4,1,1,0.64,0.6212,0.57,0.1642,1,4,5,4
5240,8/11/2011,3,0,8,5,0,4,1,1,0.64,0.6212,0.61,0.194,2,23,25,23
5241,8/11/2011,3,0,8,6,0,4,1,1,0.62,0.6061,0.65,0.1642,5,101,106,101
5242,8/11/2011,3,0,8,7,0,4,1,1,0.66,0.6212,0.54,0.1343,15,292,307,292
5243,8/11/2011,3,0,8,8,0,4,1,1,0.7,0.6364,0.45,0.1642,29,361,390,361
5244,8/11/2011,3,0,8,9,0,4,1,1,0.72,0.6515,0.39,0.2239,31,166,197,166
5245,8/11/2011,3,0,8,10,0,4,1,1,0.74,0.6515,0.37,0.2537,36,96,132,96
5246,8/11/2011,3,0,8,11,0,4,1,1,0.76,0.6667,0.35,0.2537,59,128,187,128
5247,8/11/2011,3,0,8,12,0,4,1,1,0.78,0.6818,0.31,0.2537,50,164,214,164
5248,8/11/2011,3,0,8,13,0,4,1,1,0.76,0.6667,0.31,0.2239,51,166,217,166
5249,8/11/2011,3,0,8,14,0,4,1,1,0.8,0.697,0.29,0,39,103,142,103
5250,8/11/2011,3,0,8,15,0,4,1,1,0.8,0.697,0.29,0.2985,52,126,178,126
5251,8/11/2011,3,0,8,16,0,4,1,1,0.8,0.697,0.27,0.194,57,241,298,241
5252,8/11/2011,3,0,8,17,0,4,1,1,0.8,0.697,0.29,0.2537,96,486,582,486
5253,8/11/2011,3,0,8,18,0,4,1,1,0.78,0.6818,0.29,0.0896,74,497,571,497
5254,8/11/2011,3,0,8,19,0,4,1,1,0.74,0.6515,0.35,0.194,48,323,371,323
5255,8/11/2011,3,0,8,20,0,4,1,1,0.72,0.6515,0.37,0.1343,56,232,288,232
5256,8/11/2011,3,0,8,21,0,4,1,1,0.7,0.6515,0.48,0.0896,35,171,206,171
5257,8/11/2011,3,0,8,22,0,4,1,1,0.7,0.6515,0.48,0,34,123,157,123
5258,8/11/2011,3,0,8,23,0,4,1,1,0.66,0.6212,0.5,0.1642,22,105,127,105
5259,8/12/2011,3,0,8,0,0,5,1,1,0.64,0.6212,0.53,0.1642,12,53,65,53
5260,8/12/2011,3,0,8,1,0,5,1,1,0.64,0.6212,0.53,0.1343,4,19,23,19
5261,8/12/2011,3,0,8,2,0,5,1,1,0.62,0.6212,0.57,0.194,0,15,15,15
5262,8/12/2011,3,0,8,3,0,5,1,1,0.62,0.6212,0.53,0.1642,0,9,9,9
5263,8/12/2011,3,0,8,4,0,5,1,1,0.62,0.6212,0.53,0.1343,0,5,5,5
5264,8/12/2011,3,0,8,5,0,5,1,1,0.6,0.6212,0.56,0.1343,2,24,26,24
5265,8/12/2011,3,0,8,6,0,5,1,1,0.62,0.6212,0.5,0.1343,3,73,76,73
5266,8/12/2011,3,0,8,7,0,5,1,1,0.64,0.6212,0.44,0.1642,17,247,264,247
5267,8/12/2011,3,0,8,8,0,5,1,1,0.68,0.6364,0.39,0.2239,29,397,426,397
5268,8/12/2011,3,0,8,9,0,5,1,1,0.72,0.6515,0.34,0.1343,27,178,205,178
5269,8/12/2011,3,0,8,10,0,5,1,1,0.74,0.6515,0.33,0.1045,44,86,130,86
5270,8/12/2011,3,0,8,11,0,5,1,1,0.76,0.6667,0.29,0,48,108,156,108
5271,8/12/2011,3,0,8,12,0,5,1,1,0.8,0.697,0.27,0,55,167,222,167
5272,8/12/2011,3,0,8,13,0,5,1,1,0.78,0.6818,0.29,0.0896,74,179,253,179
5273,8/12/2011,3,0,8,14,0,5,1,1,0.8,0.697,0.29,0.194,51,135,186,135
5274,8/12/2011,3,0,8,15,0,5,1,1,0.8,0.697,0.29,0.1642,59,190,249,190
5275,8/12/2011,3,0,8,16,0,5,1,1,0.82,0.7121,0.28,0,68,266,334,266
5276,8/12/2011,3,0,8,17,0,5,1,1,0.82,0.7121,0.26,0,93,423,516,423
5277,8/12/2011,3,0,8,18,0,5,1,1,0.76,0.6818,0.4,0.2985,89,376,465,376
5278,8/12/2011,3,0,8,19,0,5,1,1,0.74,0.6667,0.42,0.2239,101,284,385,284
5279,8/12/2011,3,0,8,20,0,5,1,1,0.72,0.6515,0.42,0.2239,77,210,287,210
5280,8/12/2011,3,0,8,21,0,5,1,1,0.7,0.6515,0.48,0.1343,73,153,226,153
5281,8/12/2011,3,0,8,22,0,5,1,1,0.68,0.6364,0.51,0,74,157,231,157
5282,8/12/2011,3,0,8,23,0,5,1,1,0.68,0.6364,0.51,0,51,100,151,100
5283,8/13/2011,3,0,8,0,0,6,0,1,0.68,0.6364,0.51,0.1045,15,69,84,69
5284,8/13/2011,3,0,8,1,0,6,0,2,0.68,0.6364,0.57,0.0896,13,64,77,64
5285,8/13/2011,3,0,8,2,0,6,0,1,0.68,0.6364,0.57,0,16,58,74,58
5286,8/13/2011,3,0,8,3,0,6,0,1,0.66,0.6212,0.65,0.1343,9,18,27,18
5287,8/13/2011,3,0,8,4,0,6,0,2,0.64,0.6061,0.73,0.1343,5,5,10,5
5288,8/13/2011,3,0,8,5,0,6,0,1,0.64,0.6061,0.73,0.1045,3,15,18,15
5289,8/13/2011,3,0,8,6,0,6,0,1,0.64,0.6061,0.73,0.0896,3,19,22,19
5290,8/13/2011,3,0,8,7,0,6,0,2,0.66,0.6212,0.74,0.194,10,34,44,34
5291,8/13/2011,3,0,8,8,0,6,0,2,0.7,0.6515,0.65,0.1642,28,90,118,90
5292,8/13/2011,3,0,8,9,0,6,0,2,0.7,0.6667,0.74,0.1642,70,138,208,138
5293,8/13/2011,3,0,8,10,0,6,0,2,0.72,0.697,0.74,0.2239,97,163,260,163
5294,8/13/2011,3,0,8,11,0,6,0,2,0.74,0.697,0.7,0.194,122,192,314,192
5295,8/13/2011,3,0,8,12,0,6,0,2,0.66,0.5909,0.89,0.1642,175,246,421,246
5296,8/13/2011,3,0,8,13,0,6,0,2,0.74,0.7121,0.74,0.3284,61,92,153,92
5297,8/13/2011,3,0,8,14,0,6,0,1,0.74,0.697,0.7,0.2537,113,146,259,146
5298,8/13/2011,3,0,8,15,0,6,0,3,0.68,0.6364,0.79,0.3582,150,208,358,208
5299,8/13/2011,3,0,8,16,0,6,0,2,0.7,0.6667,0.74,0.2836,148,133,281,133
5300,8/13/2011,3,0,8,17,0,6,0,2,0.72,0.697,0.74,0.2537,97,172,269,172
5301,8/13/2011,3,0,8,18,0,6,0,1,0.7,0.6667,0.74,0.2239,123,169,292,169
5302,8/13/2011,3,0,8,19,0,6,0,2,0.68,0.6364,0.79,0.2836,67,170,237,170
5303,8/13/2011,3,0,8,20,0,6,0,2,0.68,0.6364,0.83,0.2239,78,105,183,105
5304,8/13/2011,3,0,8,21,0,6,0,2,0.68,0.6364,0.83,0.3881,40,127,167,127
5305,8/13/2011,3,0,8,22,0,6,0,2,0.68,0.6364,0.83,0.3881,36,118,154,118
5306,8/13/2011,3,0,8,23,0,6,0,2,0.66,0.6061,0.83,0.3284,25,95,120,95
5307,8/14/2011,3,0,8,0,0,0,0,3,0.66,0.6061,0.83,0.2985,19,71,90,71
5308,8/14/2011,3,0,8,1,0,0,0,3,0.64,0.5758,0.89,0.2239,16,57,73,57
5309,8/14/2011,3,0,8,2,0,0,0,3,0.64,0.5758,0.89,0.2239,13,49,62,49
5310,8/14/2011,3,0,8,3,0,0,0,2,0.64,0.5606,0.94,0.2537,5,22,27,22
5311,8/14/2011,3,0,8,4,0,0,0,3,0.64,0.5606,0.94,0.194,1,2,3,2
5312,8/14/2011,3,0,8,5,0,0,0,2,0.64,0.5606,0.94,0.1642,1,9,10,9
5313,8/14/2011,3,0,8,6,0,0,0,2,0.64,0.5606,0.94,0.1045,2,4,6,4
5314,8/14/2011,3,0,8,7,0,0,0,2,0.66,0.5909,0.89,0.194,4,20,24,20
5315,8/14/2011,3,0,8,8,0,0,0,2,0.66,0.5909,0.89,0.2836,20,21,41,21
5316,8/14/2011,3,0,8,9,0,0,0,3,0.66,0.5909,0.89,0.2836,27,76,103,76
5317,8/14/2011,3,0,8,10,0,0,0,1,0.7,0.6667,0.79,0.2239,67,116,183,116
5318,8/14/2011,3,0,8,11,0,0,0,1,0.7,0.6667,0.79,0.194,81,117,198,117
5319,8/14/2011,3,0,8,12,0,0,0,2,0.7,0.6667,0.79,0.2239,98,183,281,183
5320,8/14/2011,3,0,8,13,0,0,0,1,0.72,0.697,0.74,0.2537,144,233,377,233
5321,8/14/2011,3,0,8,14,0,0,0,1,0.74,0.697,0.7,0.194,126,244,370,244
5322,8/14/2011,3,0,8,15,0,0,0,1,0.74,0.697,0.66,0.194,128,203,331,203
5323,8/14/2011,3,0,8,16,0,0,0,1,0.74,0.697,0.66,0.1642,116,176,292,176
5324,8/14/2011,3,0,8,17,0,0,0,1,0.76,0.7121,0.62,0.1343,133,196,329,196
5325,8/14/2011,3,0,8,18,0,0,0,1,0.74,0.697,0.66,0.1642,125,222,347,222
5326,8/14/2011,3,0,8,19,0,0,0,1,0.72,0.697,0.74,0.2239,75,184,259,184
5327,8/14/2011,3,0,8,20,0,0,0,1,0.7,0.6667,0.84,0.1642,67,126,193,126
5328,8/14/2011,3,0,8,21,0,0,0,3,0.6,0.5455,0.88,0.4925,51,104,155,104
5329,8/14/2011,3,0,8,22,0,0,0,3,0.6,0.5455,0.88,0.4925,14,25,39,25
5330,8/14/2011,3,0,8,23,0,0,0,3,0.6,0.5606,0.83,0,5,22,27,22
5331,8/15/2011,3,0,8,0,0,1,1,3,0.6,0.5455,0.88,0.0896,7,18,25,18
5332,8/15/2011,3,0,8,1,0,1,1,2,0.6,0.5455,0.88,0.1343,1,9,10,9
5333,8/15/2011,3,0,8,2,0,1,1,2,0.6,0.5606,0.83,0,0,3,3,3
5334,8/15/2011,3,0,8,3,0,1,1,1,0.6,0.5606,0.83,0.194,1,6,7,6
5335,8/15/2011,3,0,8,4,0,1,1,1,0.6,0.5606,0.83,0.1343,1,4,5,4
5336,8/15/2011,3,0,8,5,0,1,1,2,0.6,0.5455,0.88,0.194,3,14,17,14
5337,8/15/2011,3,0,8,6,0,1,1,1,0.6,0.5455,0.88,0.2537,3,87,90,87
5338,8/15/2011,3,0,8,7,0,1,1,1,0.6,0.5455,0.88,0.2537,10,248,258,248
5339,8/15/2011,3,0,8,8,0,1,1,1,0.64,0.5909,0.78,0.3284,29,326,355,326
5340,8/15/2011,3,0,8,9,0,1,1,1,0.64,0.5909,0.78,0.3284,52,170,222,170
5341,8/15/2011,3,0,8,10,0,1,1,1,0.68,0.6364,0.69,0.2836,54,87,141,87
5342,8/15/2011,3,0,8,11,0,1,1,2,0.72,0.6818,0.62,0.2537,41,112,153,112
5343,8/15/2011,3,0,8,12,0,1,1,1,0.74,0.6818,0.58,0.2836,62,116,178,116
5344,8/15/2011,3,0,8,13,0,1,1,1,0.78,0.7121,0.52,0.2836,53,140,193,140
5345,8/15/2011,3,0,8,14,0,1,1,1,0.74,0.6818,0.55,0.0896,56,95,151,95
5346,8/15/2011,3,0,8,15,0,1,1,3,0.74,0.6818,0.55,0.2985,49,133,182,133
5347,8/15/2011,3,0,8,16,0,1,1,1,0.74,0.6818,0.55,0.3284,58,225,283,225
5348,8/15/2011,3,0,8,17,0,1,1,1,0.74,0.6667,0.51,0.2836,59,471,530,471
5349,8/15/2011,3,0,8,18,0,1,1,1,0.7,0.6515,0.65,0.194,70,413,483,413
5350,8/15/2011,3,0,8,19,0,1,1,1,0.7,0.6515,0.65,0,54,343,397,343
5351,8/15/2011,3,0,8,20,0,1,1,1,0.66,0.6212,0.74,0.1343,45,240,285,240
5352,8/15/2011,3,0,8,21,0,1,1,1,0.66,0.6212,0.65,0.194,34,150,184,150
5353,8/15/2011,3,0,8,22,0,1,1,1,0.66,0.6212,0.69,0.2537,22,76,98,76
5354,8/15/2011,3,0,8,23,0,1,1,1,0.64,0.6061,0.69,0.2239,11,77,88,77
5355,8/16/2011,3,0,8,0,0,2,1,1,0.64,0.6061,0.69,0.1045,8,23,31,23
5356,8/16/2011,3,0,8,1,0,2,1,1,0.64,0.6061,0.69,0.1642,4,12,16,12
5357,8/16/2011,3,0,8,2,0,2,1,1,0.62,0.5909,0.73,0.2239,1,3,4,3
5358,8/16/2011,3,0,8,3,0,2,1,1,0.62,0.5909,0.73,0.2239,1,5,6,5
5359,8/16/2011,3,0,8,4,0,2,1,1,0.64,0.6061,0.69,0.2985,0,5,5,5
5360,8/16/2011,3,0,8,5,0,2,1,1,0.62,0.5909,0.73,0.2836,1,29,30,29
5361,8/16/2011,3,0,8,6,0,2,1,1,0.62,0.5909,0.73,0.3284,4,115,119,115
5362,8/16/2011,3,0,8,7,0,2,1,1,0.64,0.6061,0.69,0.2537,18,328,346,328
5363,8/16/2011,3,0,8,8,0,2,1,1,0.7,0.6515,0.58,0.4478,24,417,441,417
5364,8/16/2011,3,0,8,9,0,2,1,1,0.68,0.6364,0.61,0.2836,27,171,198,171
5365,8/16/2011,3,0,8,10,0,2,1,1,0.7,0.6515,0.58,0.3881,28,83,111,83
5366,8/16/2011,3,0,8,11,0,2,1,1,0.74,0.6667,0.51,0.2239,40,110,150,110
5367,8/16/2011,3,0,8,12,0,2,1,1,0.76,0.6818,0.48,0.3284,42,120,162,120
5368,8/16/2011,3,0,8,13,0,2,1,1,0.76,0.6818,0.48,0.2985,45,147,192,147
5369,8/16/2011,3,0,8,14,0,2,1,1,0.76,0.6818,0.45,0.4179,65,117,182,117
5370,8/16/2011,3,0,8,15,0,2,1,1,0.8,0.7121,0.41,0.2985,36,123,159,123
5371,8/16/2011,3,0,8,16,0,2,1,1,0.8,0.7121,0.41,0.2239,55,248,303,248
5372,8/16/2011,3,0,8,17,0,2,1,1,0.76,0.6818,0.45,0.3284,75,525,600,525
5373,8/16/2011,3,0,8,18,0,2,1,1,0.76,0.6818,0.45,0.2239,54,516,570,516
5374,8/16/2011,3,0,8,19,0,2,1,1,0.74,0.6667,0.48,0.194,56,320,376,320
5375,8/16/2011,3,0,8,20,0,2,1,1,0.74,0.6667,0.51,0,48,232,280,232
5376,8/16/2011,3,0,8,21,0,2,1,1,0.72,0.6667,0.54,0,38,177,215,177
5377,8/16/2011,3,0,8,22,0,2,1,1,0.7,0.6515,0.61,0,31,121,152,121
5378,8/16/2011,3,0,8,23,0,2,1,1,0.66,0.6212,0.65,0.1343,20,57,77,57
5379,8/17/2011,3,0,8,0,0,3,1,1,0.66,0.6212,0.69,0.0896,8,16,24,16
5380,8/17/2011,3,0,8,1,0,3,1,1,0.64,0.6061,0.73,0.1642,2,12,14,12
5381,8/17/2011,3,0,8,2,0,3,1,1,0.66,0.6212,0.69,0,0,6,6,6
5382,8/17/2011,3,0,8,3,0,3,1,1,0.64,0.5909,0.78,0,1,4,5,4
5383,8/17/2011,3,0,8,4,0,3,1,1,0.64,0.6061,0.73,0,0,5,5,5
5384,8/17/2011,3,0,8,5,0,3,1,1,0.64,0.6061,0.73,0,0,28,28,28
5385,8/17/2011,3,0,8,6,0,3,1,1,0.62,0.5909,0.78,0,4,101,105,101
5386,8/17/2011,3,0,8,7,0,3,1,1,0.66,0.6212,0.65,0.0896,12,296,308,296
5387,8/17/2011,3,0,8,8,0,3,1,1,0.7,0.6515,0.54,0.1642,35,452,487,452
5388,8/17/2011,3,0,8,9,0,3,1,1,0.74,0.6667,0.48,0.0896,31,178,209,178
5389,8/17/2011,3,0,8,10,0,3,1,1,0.76,0.6818,0.43,0.0896,27,91,118,91
5390,8/17/2011,3,0,8,11,0,3,1,1,0.78,0.697,0.43,0.1045,20,108,128,108
5391,8/17/2011,3,0,8,12,0,3,1,1,0.8,0.7273,0.43,0.2836,26,163,189,163
5392,8/17/2011,3,0,8,13,0,3,1,1,0.8,0.7121,0.41,0.194,38,138,176,138
5393,8/17/2011,3,0,8,14,0,3,1,1,0.82,0.7273,0.36,0.1642,54,138,192,138
5394,8/17/2011,3,0,8,15,0,3,1,1,0.8,0.7273,0.43,0.1343,42,117,159,117
5395,8/17/2011,3,0,8,16,0,3,1,1,0.82,0.7424,0.43,0.2239,62,238,300,238
5396,8/17/2011,3,0,8,17,0,3,1,1,0.8,0.7424,0.49,0.2239,46,506,552,506
5397,8/17/2011,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,86,470,556,470
5398,8/17/2011,3,0,8,19,0,3,1,1,0.76,0.697,0.55,0.2239,50,297,347,297
5399,8/17/2011,3,0,8,20,0,3,1,1,0.74,0.6818,0.58,0.2537,37,243,280,243
5400,8/17/2011,3,0,8,21,0,3,1,1,0.72,0.6818,0.62,0.2239,38,192,230,192
5401,8/17/2011,3,0,8,22,0,3,1,1,0.7,0.6515,0.65,0.194,29,142,171,142
5402,8/17/2011,3,0,8,23,0,3,1,1,0.7,0.6515,0.65,0.2836,20,85,105,85
5403,8/18/2011,3,0,8,0,0,4,1,1,0.68,0.6364,0.65,0.1343,18,38,56,38
5404,8/18/2011,3,0,8,1,0,4,1,2,0.66,0.6212,0.65,0.1642,13,11,24,11
5405,8/18/2011,3,0,8,2,0,4,1,1,0.66,0.6212,0.65,0.2239,2,4,6,4
5406,8/18/2011,3,0,8,3,0,4,1,1,0.66,0.6212,0.69,0.2836,0,6,6,6
5407,8/18/2011,3,0,8,4,0,4,1,1,0.64,0.6061,0.73,0.2239,0,9,9,9
5408,8/18/2011,3,0,8,5,0,4,1,1,0.64,0.5909,0.78,0.2836,0,27,27,27
5409,8/18/2011,3,0,8,6,0,4,1,2,0.64,0.5909,0.78,0.2537,6,97,103,97
5410,8/18/2011,3,0,8,7,0,4,1,1,0.64,0.5909,0.78,0.2985,19,289,308,289
5411,8/18/2011,3,0,8,8,0,4,1,1,0.66,0.6212,0.74,0.2836,27,393,420,393
5412,8/18/2011,3,0,8,9,0,4,1,1,0.72,0.6818,0.66,0.2537,42,186,228,186
5413,8/18/2011,3,0,8,10,0,4,1,1,0.74,0.697,0.66,0.2537,37,92,129,92
5414,8/18/2011,3,0,8,11,0,4,1,1,0.76,0.7121,0.58,0.2537,44,97,141,97
5415,8/18/2011,3,0,8,12,0,4,1,1,0.8,0.7424,0.52,0.2836,34,139,173,139
5416,8/18/2011,3,0,8,13,0,4,1,1,0.8,0.7424,0.52,0.3582,33,154,187,154
5417,8/18/2011,3,0,8,14,0,4,1,1,0.82,0.7576,0.46,0.3284,67,115,182,115
5418,8/18/2011,3,0,8,15,0,4,1,1,0.8,0.7273,0.46,0.3582,56,118,174,118
5419,8/18/2011,3,0,8,16,0,4,1,1,0.8,0.7273,0.46,0.3582,49,196,245,196
5420,8/18/2011,3,0,8,17,0,4,1,3,0.8,0.7273,0.46,0.2985,44,365,409,365
5421,8/18/2011,3,0,8,18,0,4,1,3,0.76,0.697,0.55,0.2537,48,226,274,226
5422,8/18/2011,3,0,8,19,0,4,1,1,0.66,0.6061,0.83,0.1045,26,115,141,115
5423,8/18/2011,3,0,8,20,0,4,1,1,0.66,0.6061,0.83,0.1045,24,141,165,141
5424,8/18/2011,3,0,8,21,0,4,1,2,0.68,0.6364,0.79,0,12,137,149,137
5425,8/18/2011,3,0,8,22,0,4,1,2,0.7,0.6667,0.74,0.1045,18,117,135,117
5426,8/18/2011,3,0,8,23,0,4,1,2,0.7,0.6667,0.74,0.1343,20,94,114,94
5427,8/19/2011,3,0,8,0,0,5,1,3,0.68,0.6364,0.69,0.194,9,53,62,53
5428,8/19/2011,3,0,8,1,0,5,1,3,0.64,0.5758,0.89,0,1,19,20,19
5429,8/19/2011,3,0,8,2,0,5,1,3,0.64,0.5758,0.83,0,0,8,8,8
5430,8/19/2011,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0,2,1,3,1
5431,8/19/2011,3,0,8,4,0,5,1,1,0.64,0.5758,0.83,0,1,7,8,7
5432,8/19/2011,3,0,8,5,0,5,1,1,0.64,0.5758,0.83,0,1,16,17,16
5433,8/19/2011,3,0,8,6,0,5,1,1,0.64,0.5758,0.83,0,2,91,93,91
5434,8/19/2011,3,0,8,7,0,5,1,2,0.66,0.6061,0.83,0.0896,12,251,263,251
5435,8/19/2011,3,0,8,8,0,5,1,2,0.66,0.6061,0.83,0,30,368,398,368
5436,8/19/2011,3,0,8,9,0,5,1,1,0.7,0.6515,0.65,0.1343,31,187,218,187
5437,8/19/2011,3,0,8,10,0,5,1,1,0.72,0.6818,0.62,0.0896,57,108,165,108
5438,8/19/2011,3,0,8,11,0,5,1,2,0.72,0.6818,0.66,0.0896,45,120,165,120
5439,8/19/2011,3,0,8,12,0,5,1,2,0.74,0.6818,0.62,0.0896,54,168,222,168
5440,8/19/2011,3,0,8,13,0,5,1,2,0.76,0.7121,0.62,0.194,63,169,232,169
5441,8/19/2011,3,0,8,14,0,5,1,1,0.78,0.7273,0.55,0.194,78,142,220,142
5442,8/19/2011,3,0,8,15,0,5,1,1,0.8,0.7424,0.49,0.1045,66,156,222,156
5443,8/19/2011,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0,66,261,327,261
5444,8/19/2011,3,0,8,17,0,5,1,1,0.76,0.7121,0.58,0.5224,85,442,527,442
5445,8/19/2011,3,0,8,18,0,5,1,1,0.76,0.7121,0.58,0.5224,88,337,425,337
5446,8/19/2011,3,0,8,19,0,5,1,3,0.62,0.5909,0.73,0.4627,33,132,165,132
5447,8/19/2011,3,0,8,20,0,5,1,3,0.62,0.5758,0.83,0.2985,12,46,58,46
5448,8/19/2011,3,0,8,21,0,5,1,1,0.62,0.5758,0.83,0.1343,18,89,107,89
5449,8/19/2011,3,0,8,22,0,5,1,1,0.6,0.5455,0.88,0.1343,25,97,122,97
5450,8/19/2011,3,0,8,23,0,5,1,2,0.6,0.5455,0.88,0.0896,18,88,106,88
5451,8/20/2011,3,0,8,0,0,6,0,1,0.6,0.5455,0.88,0,21,107,128,107
5452,8/20/2011,3,0,8,1,0,6,0,1,0.62,0.5758,0.83,0,12,35,47,35
5453,8/20/2011,3,0,8,2,0,6,0,1,0.62,0.5909,0.78,0,10,59,69,59
5454,8/20/2011,3,0,8,3,0,6,0,1,0.62,0.5909,0.78,0,9,42,51,42
5455,8/20/2011,3,0,8,4,0,6,0,2,0.6,0.5455,0.88,0,1,6,7,6
5456,8/20/2011,3,0,8,5,0,6,0,1,0.6,0.5606,0.83,0,0,8,8,8
5457,8/20/2011,3,0,8,6,0,6,0,2,0.6,0.5606,0.83,0.1343,6,18,24,18
5458,8/20/2011,3,0,8,7,0,6,0,1,0.62,0.5758,0.83,0,8,36,44,36
5459,8/20/2011,3,0,8,8,0,6,0,1,0.66,0.6212,0.69,0,27,106,133,106
5460,8/20/2011,3,0,8,9,0,6,0,1,0.7,0.6515,0.65,0,51,139,190,139
5461,8/20/2011,3,0,8,10,0,6,0,1,0.72,0.6818,0.62,0.1045,114,192,306,192
5462,8/20/2011,3,0,8,11,0,6,0,1,0.72,0.6667,0.58,0,115,223,338,223
5463,8/20/2011,3,0,8,12,0,6,0,1,0.74,0.6818,0.58,0.1343,156,253,409,253
5464,8/20/2011,3,0,8,13,0,6,0,1,0.76,0.697,0.55,0.1343,158,220,378,220
